Id,Weekly_Sales
1_2_2013-02-15,47462.490100000025
1_2_2013-02-22,47305.57850000004
1_2_2013-03-01,50942.40609999991
1_2_2013-03-08,48537.24929999998
1_2_2013-03-15,47100.540299999964
1_2_2013-03-22,45387.177599999945
1_2_2013-03-29,46266.05190000002
1_2_2013-04-05,46605.29900000002
1_2_2013-04-12,44735.45880000004
1_2_2013-04-19,45332.65570000003
1_2_2013-04-26,46280.2717
1_2_2013-05-03,49733.83949999991
1_2_2013-05-10,46454.39349999993
1_2_2013-05-17,45011.0102
1_2_2013-05-24,45593.85569999998
1_2_2013-05-31,47528.67250000001
1_2_2013-06-07,48623.31660000006
1_2_2013-06-14,47219.93020000003
1_2_2013-06-21,45998.664099999995
1_2_2013-06-28,47126.34530000002
1_2_2013-07-05,46424.27800000004
1_2_2013-07-12,44714.64950000006
1_2_2013-07-19,44963.612100000064
1_2_2013-07-26,45038.28160000007
1_3_2012-11-02,9344.412600000009
1_3_2012-11-09,9571.499000000007
1_3_2012-11-16,9572.102900000004
1_3_2012-11-23,9693.349700000019
1_3_2012-11-30,10515.383200000013
1_3_2012-12-07,12201.423100000016
1_3_2012-12-14,12641.963200000006
1_3_2012-12-21,13266.06119999999
1_3_2012-12-28,8929.923400000005
1_3_2013-01-04,14045.856000000013
1_3_2013-01-11,13355.03040000001
1_3_2013-01-18,12174.430499999986
1_3_2013-01-25,11310.601300000002
1_3_2013-02-01,12111.339400000015
1_3_2013-02-08,12044.446500000004
1_3_2013-02-15,11729.912199999997
1_3_2013-02-22,10837.610600000009
1_3_2013-03-01,11312.494400000016
1_3_2013-03-08,10821.986099999996
1_3_2013-03-15,8637.406199999989
1_3_2013-03-22,8329.495399999987
1_3_2013-03-29,8901.966399999987
1_3_2013-04-05,9168.638099999991
1_3_2013-04-12,8239.178199999988
1_3_2013-04-19,8470.08879999999
1_3_2013-04-26,8668.087299999996
1_3_2013-05-03,10219.461699999993
1_3_2013-05-10,9993.374099999985
1_3_2013-05-17,8669.218399999985
1_3_2013-05-24,8335.570999999989
1_3_2013-05-31,7516.424000000006
1_3_2013-06-07,8250.665300000011
1_3_2013-06-14,8011.270300000007
1_3_2013-06-21,6671.2637999999915
1_3_2013-06-28,7605.369199999999
1_3_2013-07-05,7661.564800000001
1_3_2013-07-12,12956.775699999998
1_3_2013-07-19,19269.81829999998
1_3_2013-07-26,22090.29799999998
1_4_2012-11-02,36566.69020000003
1_4_2012-11-09,36376.36510000002
1_4_2012-11-16,36376.36510000002
1_4_2012-11-23,45082.03389999999
1_4_2012-11-30,38522.699399999954
1_4_2012-12-07,37792.37829999996
1_4_2012-12-14,38629.20040000006
1_4_2012-12-21,43819.35940000003
1_4_2012-12-28,45176.78860000002
1_4_2013-01-04,39872.086499999925
1_4_2013-01-11,38194.28569999995
1_4_2013-01-18,38122.38389999996
1_4_2013-01-25,39217.14530000002
1_4_2013-02-01,39180.18790000002
1_4_2013-02-08,39104.645199999955
1_4_2013-02-15,37101.23689999999
1_4_2013-02-22,35908.408200000034
1_4_2013-03-01,36224.01290000003
1_4_2013-03-08,37723.64190000002
1_4_2013-03-15,38021.988000000005
1_4_2013-03-22,37179.94119999999
1_4_2013-03-29,37899.583999999944
1_4_2013-04-05,40619.069399999964
1_4_2013-04-12,38590.24349999994
1_4_2013-04-19,37164.64559999994
1_4_2013-04-26,37487.054599999996
1_4_2013-05-03,40016.341599999956
1_4_2013-05-10,36631.17160000002
1_4_2013-05-17,35085.52620000003
1_4_2013-05-24,37490.54979999998
1_4_2013-05-31,40642.74849999994
1_4_2013-06-07,40707.19979999999
1_4_2013-06-14,39280.873000000065
1_4_2013-06-21,37891.245300000046
1_4_2013-06-28,39020.45570000002
1_4_2013-07-05,39074.34800000003
1_4_2013-07-12,38261.36330000001
1_4_2013-07-19,38705.85699999997
1_4_2013-07-26,39270.99469999996
1_5_2012-11-02,28736.197699999968
1_5_2012-11-09,29088.365599999972
1_5_2012-11-16,27512.71440000001
1_5_2012-11-23,77031.1852000001
1_5_2012-11-30,34069.65790000002
1_5_2012-12-07,40825.564399999945
1_5_2012-12-14,50991.79240000005
1_5_2012-12-21,70822.98290000006
1_5_2012-12-28,32930.94700000003
1_5_2013-01-04,22438.910100000023
1_5_2013-01-11,20563.360900000032
1_5_2013-01-18,19480.96539999999
1_5_2013-01-25,21574.742899999976
1_5_2013-02-01,31788.70470000003
1_5_2013-02-08,38368.39000000001
1_5_2013-02-15,41458.148399999984
1_5_2013-02-22,32114.50299999994
1_5_2013-03-01,29860.854299999977
1_5_2013-03-08,28789.5518
1_5_2013-03-15,28439.609900000025
1_5_2013-03-22,26799.716300000026
1_5_2013-03-29,27352.38860000003
1_5_2013-04-05,27152.966400000034
1_5_2013-04-12,21407.63380000002
1_5_2013-04-19,20953.747600000017
1_5_2013-04-26,17950.160399999982
1_5_2013-05-03,18139.014699999996
1_5_2013-05-10,17626.15389999998
1_5_2013-05-17,17768.04659999998
1_5_2013-05-24,18255.15329999998
1_5_2013-05-31,18356.748599999995
1_5_2013-06-07,22701.01430000001
1_5_2013-06-14,22027.1689
1_5_2013-06-21,21757.161699999975
1_5_2013-06-28,20295.10069999997
1_5_2013-07-05,19469.15359999999
1_5_2013-07-12,18217.970300000015
1_5_2013-07-19,18021.917799999996
1_5_2013-07-26,17798.634699999995
1_6_2012-11-02,5421.7519000000075
1_6_2012-11-09,3989.4905
1_6_2012-11-16,3297.6543999999994
1_6_2012-11-23,17729.551000000014
1_6_2012-11-30,5616.086300000003
1_6_2012-12-07,6397.901999999999
1_6_2012-12-14,10303.706500000013
1_6_2012-12-21,21172.69400000002
1_6_2012-12-28,7279.250699999989
1_6_2013-01-04,3205.175600000001
1_6_2013-01-11,2798.7083000000025
1_6_2013-01-18,2445.4957999999992
1_6_2013-01-25,2078.845899999997
1_6_2013-02-01,3648.2210000000055
1_6_2013-02-08,6222.203599999994
1_6_2013-02-15,4215.095699999999
1_6_2013-02-22,4068.5601999999985
1_6_2013-03-01,5386.316300000003
1_6_2013-03-08,4406.065699999995
1_6_2013-03-15,4090.4395999999924
1_6_2013-03-22,4170.052999999994
1_6_2013-03-29,4489.222200000001
1_6_2013-04-05,4571.210399999997
1_6_2013-04-12,4340.8395999999975
1_6_2013-04-19,3421.822000000002
1_6_2013-04-26,3430.4205000000047
1_6_2013-05-03,4700.074599999998
1_6_2013-05-10,4052.6870999999996
1_6_2013-05-17,5130.7636999999995
1_6_2013-05-24,5159.142900000004
1_6_2013-05-31,4726.604400000004
1_6_2013-06-07,4577.077500000007
1_6_2013-06-14,3478.0014000000024
1_6_2013-06-21,3082.3501000000024
1_6_2013-06-28,3226.3607000000043
1_6_2013-07-05,3005.002500000002
1_6_2013-07-12,2814.0696
1_6_2013-07-19,3222.8913000000016
1_6_2013-07-26,3299.0460000000026
1_7_2012-11-02,22418.393100000016
1_7_2012-11-09,23774.438500000026
1_7_2012-11-16,22685.130500000007
1_7_2012-11-23,69395.32149999995
1_7_2012-11-30,38788.628000000026
1_7_2012-12-07,47931.54030000005
1_7_2012-12-14,78452.63899999991
1_7_2012-12-21,131773.09770000016
1_7_2012-12-28,40849.571599999916
1_7_2013-01-04,13281.5884
1_7_2013-01-11,11150.753200000008
1_7_2013-01-18,10665.207499999997
1_7_2013-01-25,11588.917000000007
1_7_2013-02-01,16579.16339999999
1_7_2013-02-08,20040.51500000003
1_7_2013-02-15,19207.69590000001
1_7_2013-02-22,17314.691100000015
1_7_2013-03-01,16809.151499999993
1_7_2013-03-08,18180.254099999995
1_7_2013-03-15,19657.06740000001
1_7_2013-03-22,17306.705500000022
1_7_2013-03-29,19349.858000000004
1_7_2013-04-05,23851.285299999985
1_7_2013-04-12,21275.34660000001
1_7_2013-04-19,20283.436099999984
1_7_2013-04-26,19780.767800000016
1_7_2013-05-03,21793.84330000003
1_7_2013-05-10,22136.835100000026
1_7_2013-05-17,21897.8534
1_7_2013-05-24,27919.101900000005
1_7_2013-05-31,32921.12829999996
1_7_2013-06-07,30057.14240000003
1_7_2013-06-14,27039.07800000003
1_7_2013-06-21,25185.504400000038
1_7_2013-06-28,24637.020499999984
1_7_2013-07-05,26165.084099999982
1_7_2013-07-12,18870.47449999999
1_7_2013-07-19,17083.73650000002
1_7_2013-07-26,16726.79500000002
1_8_2012-11-02,39367.995500000034
1_8_2012-11-09,39367.995500000034
1_8_2012-11-16,39367.995500000034
1_8_2012-11-23,33657.06860000002
1_8_2012-11-30,36271.32319999997
1_8_2012-12-07,37165.99089999997
1_8_2012-12-14,37946.02329999998
1_8_2012-12-21,41132.97460000003
1_8_2012-12-28,33182.15469999996
1_8_2013-01-04,34626.048100000036
1_8_2013-01-11,34600.39240000003
1_8_2013-01-18,35063.17290000006
1_8_2013-01-25,35304.676700000025
1_8_2013-02-01,37970.127300000044
1_8_2013-02-08,38441.08550000003
1_8_2013-02-15,37528.043000000005
1_8_2013-02-22,37381.03780000005
1_8_2013-03-01,39124.55639999999
1_8_2013-03-08,37360.08719999996
1_8_2013-03-15,36151.81569999999
1_8_2013-03-22,34773.04130000002
1_8_2013-03-29,36576.635399999985
1_8_2013-04-05,36643.440699999985
1_8_2013-04-12,37047.618399999956
1_8_2013-04-19,37498.58739999995
1_8_2013-04-26,38322.632299999925
1_8_2013-05-03,40591.40760000003
1_8_2013-05-10,40494.812200000044
1_8_2013-05-17,38265.4968
1_8_2013-05-24,38938.677
1_8_2013-05-31,39054.291
1_8_2013-06-07,39608.70859999998
1_8_2013-06-14,39672.00319999996
1_8_2013-06-21,38847.730399999935
1_8_2013-06-28,38809.916599999924
1_8_2013-07-05,39748.89739999993
1_8_2013-07-12,37494.36799999992
1_8_2013-07-19,36759.045599999925
1_8_2013-07-26,36932.605399999935
1_9_2012-11-02,39493.23939999998
1_9_2012-11-09,37795.22339999997
1_9_2012-11-16,33461.89169999997
1_9_2012-11-23,37669.59480000002
1_9_2012-11-30,29124.462900000024
1_9_2012-12-07,29179.94520000002
1_9_2012-12-14,30107.38690000004
1_9_2012-12-21,43372.882800000014
1_9_2012-12-28,28408.004500000003
1_9_2013-01-04,15785.481699999995
1_9_2013-01-11,15363.015200000022
1_9_2013-01-18,14276.894400000023
1_9_2013-01-25,14998.029500000006
1_9_2013-02-01,19657.568300000024
1_9_2013-02-08,20110.80909999997
1_9_2013-02-15,23166.428699999997
1_9_2013-02-22,25322.990799999996
1_9_2013-03-01,28892.71850000002
1_9_2013-03-08,30154.560300000034
1_9_2013-03-15,32079.17440000003
1_9_2013-03-22,36106.852399999996
1_9_2013-03-29,44920.136200000044
1_9_2013-04-05,40949.93839999998
1_9_2013-04-12,34843.12909999997
1_9_2013-04-19,32684.00909999997
1_9_2013-04-26,30847.784199999965
1_9_2013-05-03,30874.853899999973
1_9_2013-05-10,28811.191899999994
1_9_2013-05-17,27316.981700000026
1_9_2013-05-24,29454.975399999978
1_9_2013-05-31,33229.27960000001
1_9_2013-06-07,31379.072900000014
1_9_2013-06-14,29106.255000000037
1_9_2013-06-21,27468.792500000018
1_9_2013-06-28,26184.823599999992
1_9_2013-07-05,29746.340899999966
1_9_2013-07-12,22460.905099999985
1_9_2013-07-19,22409.22879999999
1_9_2013-07-26,22669.771800000002
1_10_2012-11-02,28586.713700000008
1_10_2012-11-09,28341.49620000001
1_10_2012-11-16,27536.101999999988
1_10_2012-11-23,31995.991299999958
1_10_2012-11-30,31393.478200000023
1_10_2012-12-07,31710.97309999998
1_10_2012-12-14,30503.88730000003
1_10_2012-12-21,34000.03179999997
1_10_2012-12-28,28204.312299999987
1_10_2013-01-04,28406.385700000035
1_10_2013-01-11,28406.385700000035
1_10_2013-01-18,25841.006900000037
1_10_2013-01-25,25301.662100000012
1_10_2013-02-01,33616.29219999995
1_10_2013-02-08,34116.21939999996
1_10_2013-02-15,38352.275499999996
1_10_2013-02-22,37559.83489999997
1_10_2013-03-01,38233.49970000001
1_10_2013-03-08,35132.783799999954
1_10_2013-03-15,33997.630500000014
1_10_2013-03-22,34099.50879999998
1_10_2013-03-29,40861.11469999994
1_10_2013-04-05,36204.83500000001
1_10_2013-04-12,31133.495099999956
1_10_2013-04-19,31181.075099999947
1_10_2013-04-26,30430.07249999999
1_10_2013-05-03,34126.54620000003
1_10_2013-05-10,32424.14220000004
1_10_2013-05-17,31119.370999999992
1_10_2013-05-24,33241.45900000003
1_10_2013-05-31,35050.1053
1_10_2013-06-07,34612.28080000002
1_10_2013-06-14,33315.41740000005
1_10_2013-06-21,32272.45380000003
1_10_2013-06-28,31384.992700000017
1_10_2013-07-05,31767.21869999999
1_10_2013-07-12,31218.39209999997
1_10_2013-07-19,30991.229999999967
1_10_2013-07-26,31116.713099999957
1_11_2012-11-02,25724.401199999997
1_11_2012-11-09,22596.713199999995
1_11_2012-11-16,22046.982700000004
1_11_2012-11-23,29770.995600000013
1_11_2012-11-30,32807.093400000005
1_11_2012-12-07,36079.894300000036
1_11_2012-12-14,30584.747200000034
1_11_2012-12-21,32205.64229999998
1_11_2012-12-28,24465.98949999999
1_11_2013-01-04,24831.309500000025
1_11_2013-01-11,27497.695500000016
1_11_2013-01-18,21020.709600000027
1_11_2013-01-25,19736.89170000003
1_11_2013-02-01,22652.39590000004
1_11_2013-02-08,25671.049100000033
1_11_2013-02-15,25263.07380000003
1_11_2013-02-22,22638.084599999987
1_11_2013-03-01,23080.898999999976
1_11_2013-03-08,22602.28129999997
1_11_2013-03-15,23196.13629999998
1_11_2013-03-22,24170.801499999987
1_11_2013-03-29,24841.583400000003
1_11_2013-04-05,26635.745700000007
1_11_2013-04-12,23762.2581
1_11_2013-04-19,23049.826800000006
1_11_2013-04-26,23891.086500000005
1_11_2013-05-03,25819.77559999999
1_11_2013-05-10,26749.284499999983
1_11_2013-05-17,23778.084699999996
1_11_2013-05-24,27177.219100000024
1_11_2013-05-31,31594.233500000035
1_11_2013-06-07,34318.337700000055
1_11_2013-06-14,29790.62460000001
1_11_2013-06-21,28426.411699999968
1_11_2013-06-28,40517.258800000054
1_11_2013-07-05,33436.2282
1_11_2013-07-12,31589.867699999988
1_11_2013-07-19,28551.534499999983
1_11_2013-07-26,31517.395999999993
1_12_2012-11-02,10139.336600000006
1_12_2012-11-09,10353.304000000007
1_12_2012-11-16,9632.370500000008
1_12_2012-11-23,8579.39599999999
1_12_2012-11-30,7859.242399999987
1_12_2012-12-07,7881.867899999996
1_12_2012-12-14,7835.414699999989
1_12_2012-12-21,8070.5618000000095
1_12_2012-12-28,7755.136100000001
1_12_2013-01-04,7927.27569999999
1_12_2013-01-11,8112.0551000000005
1_12_2013-01-18,8791.095500000003
1_12_2013-01-25,8428.377600000009
1_12_2013-02-01,9162.2358
1_12_2013-02-08,9354.652599999989
1_12_2013-02-15,9769.88509999999
1_12_2013-02-22,10072.273399999991
1_12_2013-03-01,11786.421899999992
1_12_2013-03-08,11978.352200000008
1_12_2013-03-15,12967.658100000011
1_12_2013-03-22,11788.398399999998
1_12_2013-03-29,11846.450199999987
1_12_2013-04-05,11780.176799999988
1_12_2013-04-12,11031.856600000001
1_12_2013-04-19,11602.186700000002
1_12_2013-04-26,11774.5466
1_12_2013-05-03,12131.417999999994
1_12_2013-05-10,11598.722099999992
1_12_2013-05-17,11295.120500000003
1_12_2013-05-24,12212.710199999994
1_12_2013-05-31,11824.01990000002
1_12_2013-06-07,11595.155100000009
1_12_2013-06-14,10972.940200000003
1_12_2013-06-21,10162.377699999986
1_12_2013-06-28,11538.588799999992
1_12_2013-07-05,13069.828800000008
1_12_2013-07-12,10430.797599999987
1_12_2013-07-19,11845.47210000002
1_12_2013-07-26,11830.935900000017
1_13_2012-11-02,39183.38109999998
1_13_2012-11-09,38646.05969999998
1_13_2012-11-16,38366.680499999966
1_13_2012-11-23,40696.481399999975
1_13_2012-11-30,37927.91639999998
1_13_2012-12-07,37583.432799999995
1_13_2012-12-14,37590.4038
1_13_2012-12-21,37893.7528
1_13_2012-12-28,38238.657400000004
1_13_2013-01-04,37929.010700000006
1_13_2013-01-11,37840.79520000001
1_13_2013-01-18,37336.668700000024
1_13_2013-01-25,35712.80059999996
1_13_2013-02-01,41702.21800000004
1_13_2013-02-08,42586.75200000006
1_13_2013-02-15,39776.34399999998
1_13_2013-02-22,39972.42080000003
1_13_2013-03-01,43250.92129999998
1_13_2013-03-08,41097.477300000035
1_13_2013-03-15,38977.614400000035
1_13_2013-03-22,38208.489500000025
1_13_2013-03-29,38851.14649999995
1_13_2013-04-05,42567.345899999935
1_13_2013-04-12,40295.503499999955
1_13_2013-04-19,40403.75429999995
1_13_2013-04-26,41838.27989999994
1_13_2013-05-03,41556.08099999998
1_13_2013-05-10,39405.92320000003
1_13_2013-05-17,38211.736499999955
1_13_2013-05-24,38488.26699999991
1_13_2013-05-31,40743.93149999994
1_13_2013-06-07,41411.16870000001
1_13_2013-06-14,41188.438100000036
1_13_2013-06-21,39818.284100000026
1_13_2013-06-28,40326.111300000055
1_13_2013-07-05,42143.808499999985
1_13_2013-07-12,40152.89459999996
1_13_2013-07-19,39343.597699999955
1_13_2013-07-26,38397.399999999965
1_14_2012-11-02,12193.450199999997
1_14_2012-11-09,14270.093100000015
1_14_2012-11-16,16392.637499999997
1_14_2012-11-23,39098.73100000002
1_14_2012-11-30,18346.95819999998
1_14_2012-12-07,22727.066499999975
1_14_2012-12-14,28701.728700000014
1_14_2012-12-21,44111.43810000009
1_14_2012-12-28,25147.753300000004
1_14_2013-01-04,14918.103899999987
1_14_2013-01-11,14224.770199999992
1_14_2013-01-18,13014.22169999998
1_14_2013-01-25,12567.345299999988
1_14_2013-02-01,15813.546199999997
1_14_2013-02-08,17746.52349999998
1_14_2013-02-15,17901.4167
1_14_2013-02-22,17937.03550000001
1_14_2013-03-01,18677.102200000012
1_14_2013-03-08,16548.217900000018
1_14_2013-03-15,13702.630700000012
1_14_2013-03-22,13914.107800000007
1_14_2013-03-29,14861.666600000002
1_14_2013-04-05,15311.904699999986
1_14_2013-04-12,15010.261999999973
1_14_2013-04-19,14172.577999999974
1_14_2013-04-26,14736.747200000009
1_14_2013-05-03,15833.79979999998
1_14_2013-05-10,15688.574800000011
1_14_2013-05-17,15820.032600000024
1_14_2013-05-24,14667.261600000018
1_14_2013-05-31,14535.944700000024
1_14_2013-06-07,13501.63900000001
1_14_2013-06-14,13745.616600000008
1_14_2013-06-21,13575.175999999987
1_14_2013-06-28,16246.3774
1_14_2013-07-05,17976.23900000002
1_14_2013-07-12,15704.295799999994
1_14_2013-07-19,14407.116599999994
1_14_2013-07-26,12989.696200000011
1_16_2012-11-02,7141.948299999995
1_16_2012-11-09,6274.433900000012
1_16_2012-11-16,5227.868300000006
1_16_2012-11-23,8286.1154
1_16_2012-11-30,5488.283400000001
1_16_2012-12-07,5302.697899999998
1_16_2012-12-14,5001.257099999998
1_16_2012-12-21,6425.642900000012
1_16_2012-12-28,5373.066200000005
1_16_2013-01-04,6265.747199999999
1_16_2013-01-11,6026.157799999994
1_16_2013-01-18,6038.857599999996
1_16_2013-01-25,6411.371199999998
1_16_2013-02-01,9946.026199999991
1_16_2013-02-08,12761.83530000001
1_16_2013-02-15,12639.102500000014
1_16_2013-02-22,19860.40240000003
1_16_2013-03-01,29978.81390000002
1_16_2013-03-08,31193.42390000003
1_16_2013-03-15,43053.5749
1_16_2013-03-22,42175.15460000004
1_16_2013-03-29,52184.09609999996
1_16_2013-04-05,57195.52900000001
1_16_2013-04-12,54300.72170000007
1_16_2013-04-19,45857.623000000014
1_16_2013-04-26,44803.85000000002
1_16_2013-05-03,45726.06990000003
1_16_2013-05-10,40109.07650000004
1_16_2013-05-17,37591.483799999995
1_16_2013-05-24,42614.39909999995
1_16_2013-05-31,44702.19250000005
1_16_2013-06-07,37242.542900000044
1_16_2013-06-14,34729.84879999999
1_16_2013-06-21,35837.518500000035
1_16_2013-06-28,37023.948099999965
1_16_2013-07-05,39285.950400000016
1_16_2013-07-12,24241.374599999992
1_16_2013-07-19,23987.612299999993
1_16_2013-07-26,23730.925300000024
1_17_2012-11-02,7817.659200000002
1_17_2012-11-09,8169.999199999999
1_17_2012-11-16,8868.279400000001
1_17_2012-11-23,11736.909399999999
1_17_2012-11-30,10098.439000000008
1_17_2012-12-07,10543.147599999993
1_17_2012-12-14,11940.024599999999
1_17_2012-12-21,18056.74350000001
1_17_2012-12-28,15188.892100000006
1_17_2013-01-04,8833.047800000008
1_17_2013-01-11,8871.705100000014
1_17_2013-01-18,8130.293699999996
1_17_2013-01-25,7574.307800000004
1_17_2013-02-01,9973.35589999999
1_17_2013-02-08,10600.913499999982
1_17_2013-02-15,11183.420899999985
1_17_2013-02-22,10301.451599999999
1_17_2013-03-01,11277.699
1_17_2013-03-08,10967.430699999995
1_17_2013-03-15,9488.17650000001
1_17_2013-03-22,8071.925200000005
1_17_2013-03-29,8268.706400000006
1_17_2013-04-05,8499.64470000001
1_17_2013-04-12,7407.720399999991
1_17_2013-04-19,8021.8155999999935
1_17_2013-04-26,7861.9949000000015
1_17_2013-05-03,7877.658900000001
1_17_2013-05-10,7922.3866000000025
1_17_2013-05-17,7807.292200000004
1_17_2013-05-24,7390.328100000004
1_17_2013-05-31,7296.277600000001
1_17_2013-06-07,8478.945399999986
1_17_2013-06-14,7374.430999999994
1_17_2013-06-21,7260.28539999999
1_17_2013-06-28,7995.533299999996
1_17_2013-07-05,8067.056299999993
1_17_2013-07-12,7434.362800000007
1_17_2013-07-19,7316.579199999999
1_17_2013-07-26,8116.299499999996
1_18_2012-11-02,13464.269600000007
1_18_2012-11-09,11136.428699999999
1_18_2012-11-16,14089.401999999993
1_18_2012-11-23,35276.05430000006
1_18_2012-11-30,48716.444999999956
1_18_2012-12-07,45625.13569999996
1_18_2012-12-14,32943.253100000016
1_18_2012-12-21,24308.1251
1_18_2012-12-28,22282.284999999985
1_18_2013-01-04,6904.379999999994
1_18_2013-01-11,1431.8460000000007
1_18_2013-01-18,1521.7923999999982
1_18_2013-01-25,1920.5812999999998
1_18_2013-02-01,3862.6897999999983
1_18_2013-02-08,14597.029099999985
1_18_2013-02-15,26238.09680000002
1_18_2013-02-22,1901.217700000001
1_18_2013-03-01,1513.9156999999998
1_18_2013-03-08,1298.1146999999985
1_18_2013-03-15,1462.9671000000014
1_18_2013-03-22,2177.230099999999
1_18_2013-03-29,4558.7203999999965
1_18_2013-04-05,10800.187199999995
1_18_2013-04-12,4941.938999999999
1_18_2013-04-19,1115.6468999999984
1_18_2013-04-26,194.88239999999993
1_18_2013-05-03,40.33139999999999
1_18_2013-05-10,10.260000000000021
1_18_2013-05-17,0.7239
1_18_2013-05-24,1.8388999999999986
1_18_2013-06-07,3.432000000000004
1_18_2013-07-05,2.2323999999999993
1_19_2012-11-02,1501.3718999999985
1_19_2012-11-09,1482.6609999999987
1_19_2012-11-16,1468.0311999999988
1_19_2012-11-23,1231.0235999999982
1_19_2012-11-30,1498.4145999999985
1_19_2012-12-07,1633.4257999999986
1_19_2012-12-14,1522.547599999999
1_19_2012-12-21,1703.6688999999988
1_19_2012-12-28,1241.2567999999999
1_19_2013-01-04,682.6771000000008
1_19_2013-01-11,735.5319000000011
1_19_2013-01-18,729.8472000000003
1_19_2013-01-25,741.2588000000005
1_19_2013-02-01,1062.4374999999986
1_19_2013-02-08,1017.5045999999985
1_19_2013-02-15,862.3094999999983
1_19_2013-02-22,1073.3125999999982
1_19_2013-03-01,1204.6158999999984
1_19_2013-03-08,1394.6814999999988
1_19_2013-03-15,1330.0333999999982
1_19_2013-03-22,1096.952099999998
1_19_2013-03-29,1056.185699999998
1_19_2013-04-05,970.1024999999986
1_19_2013-04-12,876.9215999999998
1_19_2013-04-19,1067.0236999999997
1_19_2013-04-26,790.6834999999993
1_19_2013-05-03,1126.3897999999986
1_19_2013-05-10,1669.9580999999991
1_19_2013-05-17,1454.2549000000006
1_19_2013-05-24,1153.0132000000021
1_19_2013-05-31,1307.4627000000007
1_19_2013-06-07,1215.6041000000014
1_19_2013-06-14,1020.8179000000014
1_19_2013-06-21,1106.5007999999991
1_19_2013-06-28,1074.7088999999987
1_19_2013-07-05,1127.4598999999985
1_19_2013-07-12,1040.8471000000013
1_19_2013-07-19,971.6688000000014
1_19_2013-07-26,991.3707999999997
1_20_2012-11-02,3008.695700000001
1_20_2012-11-09,2989.801000000002
1_20_2012-11-16,2909.6144000000004
1_20_2012-11-23,4775.0966000000035
1_20_2012-11-30,3053.2336000000028
1_20_2012-12-07,2965.099800000004
1_20_2012-12-14,3388.3965
1_20_2012-12-21,3592.0012999999976
1_20_2012-12-28,4177.349300000005
1_20_2013-01-04,3615.022900000001
1_20_2013-01-11,4108.9505000000045
1_20_2013-01-18,3981.479200000005
1_20_2013-01-25,3638.0431999999973
1_20_2013-02-01,4098.389399999995
1_20_2013-02-08,5437.5115000000005
1_20_2013-02-15,5269.650999999993
1_20_2013-02-22,4853.263699999991
1_20_2013-03-01,5062.925399999995
1_20_2013-03-08,6338.648900000001
1_20_2013-03-15,5443.253499999999
1_20_2013-03-22,4278.3398000000025
1_20_2013-03-29,4798.057499999997
1_20_2013-04-05,4087.4693000000034
1_20_2013-04-12,3756.8432000000043
1_20_2013-04-19,3843.3853000000026
1_20_2013-04-26,4512.289699999998
1_20_2013-05-03,4587.965999999999
1_20_2013-05-10,4690.500400000002
1_20_2013-05-17,5078.48130000001
1_20_2013-05-24,4752.825400000005
1_20_2013-05-31,4552.6916999999985
1_20_2013-06-07,4549.428299999999
1_20_2013-06-14,4878.742400000003
1_20_2013-06-21,4967.706900000006
1_20_2013-06-28,4997.962999999998
1_20_2013-07-05,5239.957499999995
1_20_2013-07-12,4686.968499999995
1_20_2013-07-19,4586.692800000002
1_20_2013-07-26,4045.156199999995
1_21_2012-11-02,8083.605400000003
